"Response number","Do you have any experience in using a computer programming language e.g. Java, Python, etc","If yes please give some details","Are you worried/nervous about learning a new computing language ?","Any further comments relating to the above question","Do you have a qualification in Higher Mathematics or equivalent e.g A Level Mathematics","If no, please provide details of your mathematics qualification"
1,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",,Yes,
2,No,,"Yes, I am very worried/nervous about learning a new computing language.",,Yes,
3,No,,"Yes, I am very worried/nervous about learning a new computing language.",,Yes,
4,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",,Yes,
5,No,,"No, I am not worried/nervous about learning a new computing language.",,Yes,
6,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",,No,"I have a GCSE in Mathematics."
7,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",,No,"nat 5 maths, higher physics"
8,No,,"No, I am not worried/nervous about learning a new computing language.",,Yes,
9,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",,Yes,
10,Yes,"Used VB.net, HTML, and microsoft access in Highschool as well as knowing a bit of Java.","No, I am not worried/nervous about learning a new computing language.",,Yes,
11,No,,"Yes, I am very worried/nervous about learning a new computing language.",,No,
12,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",,Yes,
13,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",,Yes,
14,No,,"No, I am not worried/nervous about learning a new computing language.",,Yes,
15,No,,"No, I am not worried/nervous about learning a new computing language.",,Yes,
16,Yes,"I used notepad+ in my third year of high school which I remember being good at but its been years since I done any type of coding or programming.","Yes, I am slightly worried/nervous about learning a new computing language.",,No,"I have a Nat5 maths qualification which i got an A in"
17,No,,"Yes, I am slightly worried/nervous about learning a new computing language.","I have done some National 5 administration so am hoping that can be helpful.",No,"I have National 5 Mathematics"
18,No,"I know some Python","No, I am not worried/nervous about learning a new computing language.",,Yes,
19,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",,Yes,
20,No,,"Yes, I am very worried/nervous about learning a new computing language.",,No,"I have a C at National 5 for Mathematics."
21,Yes,"Python experience","Yes, I am slightly worried/nervous about learning a new computing language.","Very familiar with python syntax, concerned that R will be substantially different",Yes,
22,No,,"No, I am not worried/nervous about learning a new computing language.",,No,"I&#039;ve got an A in National 5 Mathematics"
23,No,,"No, I am not worried/nervous about learning a new computing language.",,Yes,
24,No,,"Yes, I am very worried/nervous about learning a new computing language.",,Yes,
25,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",,Yes,
26,No,,"Yes, I am slightly worried/nervous about learning a new computing language.","Do you have a to have a laptop to download R and R software or would I be able to use my Ipad?",Yes,
27,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",,Yes,
28,No,,"Yes, I am very worried/nervous about learning a new computing language.",,Yes,
29,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",,Yes,
30,No,,"Yes, I am very worried/nervous about learning a new computing language.",,Yes,
31,No,,"Yes, I am very worried/nervous about learning a new computing language.",,Yes,
32,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",,No,"GCSE Maths"
33,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",,Yes,
34,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",,Yes,
35,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",,Yes,
36,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",,No,"National 5 A Mathematics"
37,Yes,"Nat 5 computing science","Yes, I am slightly worried/nervous about learning a new computing language.",,Yes,
38,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",,Yes,
39,No,,"Yes, I am very worried/nervous about learning a new computing language.",,Yes,
40,No,,"No, I am not worried/nervous about learning a new computing language.",,No,"National 5 at C"
41,No,,"Yes, I am very worried/nervous about learning a new computing language.",,Yes,
42,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",,No,
43,No,,"Yes, I am slightly worried/nervous about learning a new computing language.",,Yes,
