"Response number","How would you rate your agreement with the following statement: I enjoyed learning R as part of this module.","At this point in the course, how would you rate your anxiety levels around using R for statistical analysis?","How could the materials be improved to help you gain more confidence/reduce any anxiety around using R? ","Are there any further comments that you wish to add about the module at this stage"
1,Disagree,"Not particularly anxious",demonstrations,
2,Agree,"Not particularly anxious",none,"I would like a general discussion form."
3,"Strongly disagree",Anxious,"detailed step by step",
4,"Strongly agree","Not particularly anxious","I personally have been finding the material provided very useful as it is easy to understand and follow along. Most of this module requires alot of independent learning and self study, so perhaps along with the slides, some videos could be added of the lecturers further explaining concepts or solving problems step by step, for the slightly more difficult topics that people usually struggle with?",
5,"Neither agree nor disagree","Very anxious","if the power points were a lot easier to understand that would have helped me understand it a lot more, Being in class would have been a lot more helpful than trying to learn by yourself and then only having 1 hour a week with lecturer to go over when there is over a hundred students is not helpful.",
6,"Strongly agree","Not particularly anxious","R as a whole is ok to use we just need more practice to become more confident using it. Having alternative ways to use R might be helpful in the PowerPoints which could allow people to complete the questions before the tutorials so they can get help with the questions rather than how to work R to begin with.","The course is well planned and executed, the only thing I can think of would be having the working for the questions in the quiz available in the review section after the quiz which would allow us to check where we went wrong there and then rather than waiting for the tutorials."
7,"Neither agree nor disagree","Very anxious","every week do a zoom where the lecturer goes over the questions quickly on how they got them",
8,Disagree,"Not particularly anxious","Not sure, maybe an optional drop in session at the start to help go over basics a bit more",
9,Agree,"Not particularly anxious","More video tutorials","No further comments"
10,Agree,"Not particularly anxious","Give more varied examples in the PowerPoints to explain/show how to tackle more complicated questions",
11,Agree,"Not particularly anxious","I feel that the materials we are given are more than adequate and so can&#039;t think of any improvements.",
12,Disagree,"Not particularly anxious","I felt very lost using it to begin with so I think I probably just need to practice more",
13,Agree,"Not particularly anxious","More worked examples",
14,Agree,Anxious,"The lectures could perhaps include some more worked examples, but otherwise I think the materials are great and it is just a case of practicing lots to gain more confidence with R.",
15,"Strongly agree","Not particularly anxious","More video tutorials of using R as sometimes powerpoints can be difficult to understand.",No
16,"Strongly agree","Not particularly anxious","more questions for practice outside of the quizzes",
17,"Strongly agree","Not particularly anxious","I think it could be more better to have some complex exercises explain on video in the same way that we have videos about the common errors in R. I know that we have some drop in sessions but having videos could help each of us in case we forgot some procedures about one of the complex exercises.","I am really learning something new and I am happy with that but I am upset for having loosing 6 marks in the passed assessment not because I didn&#039;t find the answer but just because I have not put at thee decimal places. I think if this process was used all over our quizzes I could be more aware of the situation and could not lost 6 marks"
18,Agree,"Not particularly anxious","Possibly a recorded demonstration each week like in week 0 for extra support when needed.",
19,Agree,"Not particularly anxious","some more examples for doing worked solutions in R",
20,Agree,"Not particularly anxious","This way of learning it is good. It would be good if there were some review questions each week about the previous topics.","I really like it"
21,Agree,Anxious,"It&#039;s well done in my opinion",
22,Agree,"Not particularly anxious",none,
23,"Neither agree nor disagree",Anxious,"videos explaining and more examples",
24,"Strongly agree","Not particularly anxious","Okay as is for R.",
25,Agree,"Not particularly anxious","Possibly videos explaining it rather than just the slides for additional help",
26,Agree,"Not particularly anxious","More examples of different possible question types",
27,"Strongly disagree",Anxious,"More video tutorials",
28,"Strongly agree","Not particularly anxious","The materials are really good!",
29,Agree,"Not particularly anxious","When an answer is incorrect i would like to know the process of getting the correct answer.",
